Onset,Duration,Annotation
+0.0656000,,Markon: w
+29.9169000,,Markoff: w
+30.0985000,,Markon: w
+59.9661000,,Markoff: w
+60.0820000,,Markon: w
+89.9333000,,Markoff: w
+90.0985000,,Markon: 1
+119.9661000,,Markoff: 1
+120.0328000,,Markon: w
+149.9825000,,Markoff: w
+150.0000000,,Markon: w
+179.9497000,,Markoff: w
+180.0820000,,Markon: w
+209.9661000,,Markoff: w
+210.0000000,,Markon: w
+239.9661000,,Markoff: w
+240.0656000,,Markon: 1
+269.9825000,,Markoff: 1
+270.0656000,,Markon: 1
+299.9497000,,Markoff: 1
+300.0164000,,Markon: w
+329.9169000,,Markoff: w
+330.0000000,,Markon: 1
+359.9490000,,Markoff: 1
+360.0820000,,Markon: 1
+389.9660000,,Markoff: 1
+390.0164000,,Markon: 1
+419.9825000,,Markoff: 1
+420.0328000,,Markon: w
+449.9004000,,Markoff: w
+450.0492000,,Markon: 1
+479.9661000,,Markoff: 1
+480.0164000,,Markon: 1
+509.9661000,,Markoff: 1
+510.0000000,,Markon: w
+539.9661000,,Markoff: w
+540.0492000,,Markon: 1
+562.5640000,,spindle
+569.9333000,,Markoff: 1
+570.0492000,,Markon: 1
+599.9333000,,Markoff: 1
+600.0160000,,Markon: 1
+629.9980000,,Markoff: 1
+630.0220000,,Markon: w
+659.9004000,,Markoff: w
+660.0164000,,Markon: 1
+689.9497000,,Markoff: 1
+690.0820000,,Markon: 1
+716.1800000,,spindle
+719.9825000,,Markoff: 1
+733.9550000,,Markon: 1
+749.9820000,,Markoff: 1
+750.0000000,,Markon:1
+779.9820000,,Markoff: 1
+780.0000000,,Markon: 1
+809.9660000,,Markoff: 1
+810.0490000,,Markon: w
+839.9330000,,Markoff: w
+840.0490000,,Markon: w
+869.9330000,,Markoff: w
+870.0492000,,Markon: 1
+899.9825000,,Markoff: 1
+900.0820000,,Markon: 1
+916.1760000,,spindle
+918.1050000,,k-complex
+918.1640000,,spindle
+929.9160000,,Markoff: 1
+930.0000000,,Markon: 1
+959.9490000,,Markoff: 1
+960.0650000,,Markon: 1
+978.5310000,,spindle
+982.7410000,,spindle
+986.0600000,,spindle
+989.9661000,,Markoff: 2
+990.0000000,,Markon: 2
+991.4700000,,spindle
+994.5240000,,spindle
+1003.2820000,,spindle
+1019.9330000,,Markoff: 2
+1020.0000000,,Markon: 2
+1020.4180000,,k-complex
+1021.1750000,,spindle
+1022.9980000,,spindle
+1025.1290000,,spindle
+1031.9980000,,spindle
+1050.0000000,,Markoff: 2
+1050.0320000,,Markon: 2
+1063.8610000,,spindle
+1065.8620000,,spindle
+1067.2530000,,spindle
+1070.8640000,,spindle
+1074.1920000,,spindle
+1076.9300000,,spindle
+1080.0300000,,Markoff: 2
+1080.0320000,,Markon: 2
+1080.0328971,,spindle
+1082.1350000,,k-complex
+1082.1520000,,spindle
+1082.9150000,,spindle
+1085.2450000,,spindle
+1088.5700000,,spindle
+1093.1380000,,spindle
+1093.1380000,,spindle
+1094.3770000,,spindle
+1097.7300000,,spindle
+1101.4290000,,spindle
+1106.4310000,,spindle
+1109.9820000,,Markoff: 2
+1110.0320000,,Markon: w
+1110.4330000,,spindle
+1116.9100000,,spindle
+1118.7400000,3.393000,k-complex
+1125.3220000,,spindle
+1139.9660000,,Markoff: w
+1140.0164000,,Markon: w
+1169.9661000,,Markoff: w
+1170.0328000,,Markon: w
+1199.9169000,,Markoff: w
+1200.0000000,,Markon: 1
+1229.9497000,,Markoff: 1
+1230.0328000,,Markon: w
+1259.9661000,,Markoff: w
+1260.0490000,,Markon: 1
+1289.8840000,,Markoff: 1
+1290.4390000,0.252000,Markon: 1
+1319.9330000,,Markoff: 1
+1320.0656000,,Markon: 3
+1326.4580000,,spindle
+1330.0190000,,spindle
+1335.4580000,,spindle
+1348.9440000,,spindle
+1349.9497000,,Markoff: 3
+1350.0320000,,Markon: 2
+1356.4580000,,spindle
+1359.9680000,,spindle
+1361.4320000,3.393000,spindle
+1365.8130000,,spindle
+1367.3790000,,spindle
+1379.9160000,,Markoff: 2
+1380.0320000,,Markon: 2
+1386.2680000,,spindle
+1389.4880000,,spindle
+1392.4100000,,spindle
+1396.8730000,,spindle
+1400.4790000,,spindle
+1403.8620000,,spindle
+1409.3080000,,spindle
+1409.9820000,,Markoff: 2
+1410.0650000,,Markon: 2
+1412.3860000,,spindle
+1416.7040000,,spindle
+1421.1500000,,spindle
+1423.2830000,,spindle
+1429.3680000,,spindle
+1429.9590000,,spindle
+1432.6860000,,spindle
+1434.6600000,,spindle
+1437.3460000,,spindle
+1439.9820000,,Markoff: 2
+1439.9990000,,Markon: 2
+1441.3080000,,spindle
+1445.4860000,,spindle
+1469.9330000,,Markoff: 2
+1469.9990000,,Markon: 1
